gene_id,genome_loc
ENSG00000223972,1
ENSG00000227232,2
ENSG00000278267,3
ENSG00000243485,4
ENSG00000274890,5
ENSG00000237613,6
ENSG00000268020,7
ENSG00000240361,8
ENSG00000186092,9
ENSG00000238009,10
ENSG00000239945,11
ENSG00000233750,12
ENSG00000268903,13
ENSG00000269981,14
ENSG00000239906,15
ENSG00000241860,16
ENSG00000222623,17
ENSG00000241599,18
ENSG00000279928,19
ENSG00000279457,20
ENSG00000273874,21
ENSG00000275135,22
ENSG00000228463,23
ENSG00000241670,24
ENSG00000236679,25
ENSG00000236743,26
ENSG00000236601,27
ENSG00000237094,28
ENSG00000269732,29
ENSG00000278566,30
ENSG00000224813,31
ENSG00000233653,32
ENSG00000250575,33
ENSG00000278757,34
ENSG00000231709,35
ENSG00000235146,36
ENSG00000239664,37
ENSG00000230021,38
ENSG00000223659,39
ENSG00000225972,40
ENSG00000225630,41
ENSG00000276171,42
ENSG00000237973,43
ENSG00000278791,44
ENSG00000229344,45
ENSG00000240409,46
ENSG00000248527,47
ENSG00000198744,48
ENSG00000268663,49
ENSG00000273547,50
ENSG00000229376,51
ENSG00000224956,52
ENSG00000235373,53
ENSG00000223181,54
ENSG00000240618,55
ENSG00000229905,56
ENSG00000228327,57
ENSG00000237491,58
ENSG00000230092,59
ENSG00000177757,60
ENSG00000228794,61
ENSG00000225880,62
ENSG00000230368,63
ENSG00000234711,64
ENSG00000272438,65
ENSG00000230699,66
ENSG00000241180,67
ENSG00000223764,68
ENSG00000187634,69
ENSG00000188976,70
ENSG00000187961,71
ENSG00000277294,72
ENSG00000187583,73
ENSG00000187642,74
ENSG00000272512,75
ENSG00000188290,76
ENSG00000187608,77
ENSG00000231702,78
ENSG00000224969,79
ENSG00000188157,80
ENSG00000242590,81
ENSG00000217801,82
ENSG00000273443,83
ENSG00000237330,84
ENSG00000131591,85
ENSG00000223823,86
ENSG00000207730,87
ENSG00000207607,88
ENSG00000198976,89
ENSG00000272141,90
ENSG00000205231,91
ENSG00000162571,92
ENSG00000186891,93
ENSG00000186827,94
ENSG00000078808,95
ENSG00000176022,96
ENSG00000184163,97
ENSG00000260179,98
ENSG00000160087,99
ENSG00000230415,100
ENSG00000162572,101
ENSG00000131584,102
ENSG00000278073,103
ENSG00000169972,104
ENSG00000127054,105
ENSG00000274153,106
ENSG00000240731,107
ENSG00000224051,108
ENSG00000169962,109
ENSG00000107404,110
ENSG00000275884,111
ENSG00000162576,112
ENSG00000175756,113
ENSG00000223663,114
ENSG00000221978,115
ENSG00000224870,116
ENSG00000242485,117
ENSG00000264293,118
ENSG00000272455,119
ENSG00000235098,120
ENSG00000225905,121
ENSG00000205116,122
ENSG00000225285,123
ENSG00000179403,124
ENSG00000215915,125
ENSG00000160072,126
ENSG00000197785,127
ENSG00000205090,128
ENSG00000160075,129
ENSG00000215014,130
ENSG00000279244,131
ENSG00000274481,132
ENSG00000228594,133
ENSG00000272106,134
ENSG00000197530,135
ENSG00000189409,136
ENSG00000248333,137
ENSG00000272004,138
ENSG00000189339,139
ENSG00000269737,140
ENSG00000269227,141
ENSG00000215914,142
ENSG00000008128,143
ENSG00000268575,144
ENSG00000227775,145
ENSG00000215790,146
ENSG00000008130,147
ENSG00000078369,148
ENSG00000231050,149
ENSG00000169885,150
ENSG00000178821,151
ENSG00000142609,152
ENSG00000233542,153
ENSG00000187730,154
ENSG00000226969,155
ENSG00000067606,156
ENSG00000271806,157
ENSG00000182873,158
ENSG00000162585,159
ENSG00000234396,160
ENSG00000277082,161
ENSG00000157933,162
ENSG00000116151,163
ENSG00000272161,164
ENSG00000269896,165
ENSG00000272420,166
ENSG00000157916,167
ENSG00000157911,168
ENSG00000149527,169
ENSG00000224387,170
ENSG00000229393,171
ENSG00000157881,172
ENSG00000197921,173
ENSG00000272449,174
ENSG00000238164,175
ENSG00000157873,176
ENSG00000225931,177
ENSG00000228037,178
ENSG00000157870,179
ENSG00000142606,180
ENSG00000237058,181
ENSG00000215912,182
ENSG00000233234,183
ENSG00000231630,184
ENSG00000169717,185
ENSG00000177133,186
ENSG00000142611,187
ENSG00000226286,188
ENSG00000279839,189
ENSG00000272235,190
ENSG00000130762,191
ENSG00000272088,192
ENSG00000162591,193
ENSG00000207776,194
ENSG00000238260,195
ENSG00000158109,196
ENSG00000116213,197
ENSG00000078900,198
ENSG00000227589,199
ENSG00000235131,200
ENSG00000227372,201
ENSG00000276189,202
ENSG00000162592,203
ENSG00000235169,204
ENSG00000130764,205
ENSG00000266075,206
ENSG00000272153,207
ENSG00000116198,208
ENSG00000169598,209
ENSG00000198912,210
ENSG00000236423,211
ENSG00000233304,212
ENSG00000226374,213
ENSG00000229280,214
ENSG00000235054,215
ENSG00000227169,216
ENSG00000232596,217
ENSG00000196581,218
ENSG00000277731,219
