gene_id,genome_loc
ENSMUSG00000102693,1
ENSMUSG00000064842,2
ENSMUSG00000051951,3
ENSMUSG00000102851,4
ENSMUSG00000103377,5
ENSMUSG00000104017,6
ENSMUSG00000103025,7
ENSMUSG00000089699,8
ENSMUSG00000103201,9
ENSMUSG00000103147,10
ENSMUSG00000103161,11
ENSMUSG00000102331,12
ENSMUSG00000102348,13
ENSMUSG00000102592,14
ENSMUSG00000088333,15
ENSMUSG00000102343,16
ENSMUSG00000102948,17
ENSMUSG00000025900,18
ENSMUSG00000104123,19
ENSMUSG00000025902,20
ENSMUSG00000104238,21
ENSMUSG00000102269,22
ENSMUSG00000096126,23
ENSMUSG00000103003,24
ENSMUSG00000104328,25
ENSMUSG00000102735,26
ENSMUSG00000098104,27
ENSMUSG00000102175,28
ENSMUSG00000088000,29
ENSMUSG00000103265,30
ENSMUSG00000103922,31
ENSMUSG00000033845,32
ENSMUSG00000102275,33
ENSMUSG00000025903,34
ENSMUSG00000104217,35
ENSMUSG00000033813,36
ENSMUSG00000062588,37
ENSMUSG00000103280,38
ENSMUSG00000002459,39
ENSMUSG00000091305,40
ENSMUSG00000102653,41
ENSMUSG00000085623,42
ENSMUSG00000091665,43
ENSMUSG00000033793,44
ENSMUSG00000104352,45
ENSMUSG00000104046,46
ENSMUSG00000102907,47
ENSMUSG00000025905,48
ENSMUSG00000103936,49
ENSMUSG00000093015,50
ENSMUSG00000103519,51
ENSMUSG00000033774,52
ENSMUSG00000103090,53
ENSMUSG00000025907,54
ENSMUSG00000090031,55
ENSMUSG00000087247,56
ENSMUSG00000103355,57
ENSMUSG00000102706,58
ENSMUSG00000103845,59
ENSMUSG00000033740,60
ENSMUSG00000103329,61
ENSMUSG00000104385,62
ENSMUSG00000102135,63
ENSMUSG00000103282,64
ENSMUSG00000102534,65
ENSMUSG00000102213,66
ENSMUSG00000103629,67
ENSMUSG00000051285,68
ENSMUSG00000098201,69
ENSMUSG00000103509,70
ENSMUSG00000048538,71
ENSMUSG00000103709,72
ENSMUSG00000077244,73
ENSMUSG00000102768,74
ENSMUSG00000097797,75
ENSMUSG00000103498,76
ENSMUSG00000103067,77
ENSMUSG00000102320,78
ENSMUSG00000104226,79
ENSMUSG00000103903,80
ENSMUSG00000103557,81
ENSMUSG00000025909,82
ENSMUSG00000102647,83
ENSMUSG00000086235,84
ENSMUSG00000102253,85
ENSMUSG00000093970,86
ENSMUSG00000103884,87
ENSMUSG00000084353,88
ENSMUSG00000103933,89
ENSMUSG00000076135,90
ENSMUSG00000086195,91
ENSMUSG00000104504,92
ENSMUSG00000066693,93
ENSMUSG00000102316,94
ENSMUSG00000103819,95
ENSMUSG00000102871,96
ENSMUSG00000101571,97
ENSMUSG00000104428,98
ENSMUSG00000102272,99
ENSMUSG00000065625,100
ENSMUSG00000103411,101
ENSMUSG00000061024,102
ENSMUSG00000025911,103
ENSMUSG00000079671,104
ENSMUSG00000081441,105
ENSMUSG00000067879,106
ENSMUSG00000099827,107
ENSMUSG00000025912,108
ENSMUSG00000045210,109
ENSMUSG00000097893,110
ENSMUSG00000025915,111
ENSMUSG00000046334,112
ENSMUSG00000088916,113
ENSMUSG00000046101,114
ENSMUSG00000098234,115
ENSMUSG00000093178,116
ENSMUSG00000099032,117
